first name,last name,party,state,state abbr,quarter,approval,disapproval
Charlie,Baker,Republican,Massachusetts,MA,2017 Q1,75,17
Charlie,Baker,Republican,Massachusetts,MA,2017 Q2,71,17
Charlie,Baker,Republican,Massachusetts,MA,2017 Q3,69,17
Charlie,Baker,Republican,Massachusetts,MA,2017 Q4,69,16
Charlie,Baker,Republican,Massachusetts,MA,2018 Q1,71,16
Charlie,Baker,Republican,Massachusetts,MA,2018 Q2,69,17
Charlie,Baker,Republican,Massachusetts,MA,2018 Q3,70,17
Charlie,Baker,Republican,Massachusetts,MA,2018 Q4,72,14
Charlie,Baker,Republican,Massachusetts,MA,2019 Q1,73,14
Charlie,Baker,Republican,Massachusetts,MA,2019 Q2,73,14
Larry,Hogan,Republican,Maryland,MD,2017 Q1,73,16
Larry,Hogan,Republican,Maryland,MD,2017 Q2,68,16
Larry,Hogan,Republican,Maryland,MD,2017 Q3,66,18
Larry,Hogan,Republican,Maryland,MD,2017 Q4,66,18
Larry,Hogan,Republican,Maryland,MD,2018 Q1,68,17
Larry,Hogan,Republican,Maryland,MD,2018 Q2,68,17
Larry,Hogan,Republican,Maryland,MD,2018 Q3,67,17
Larry,Hogan,Republican,Maryland,MD,2018 Q4,68,17
Larry,Hogan,Republican,Maryland,MD,2019 Q1,71,14
Larry,Hogan,Republican,Maryland,MD,2019 Q2,70,16
Chris,Sununu,Republican,New Hampshire,NH,2017 Q1,55,22
Chris,Sununu,Republican,New Hampshire,NH,2017 Q2,57,23
Chris,Sununu,Republican,New Hampshire,NH,2017 Q3,59,22
Chris,Sununu,Republican,New Hampshire,NH,2017 Q4,58,22
Chris,Sununu,Republican,New Hampshire,NH,2018 Q1,63,21
Chris,Sununu,Republican,New Hampshire,NH,2018 Q2,61,22
Chris,Sununu,Republican,New Hampshire,NH,2018 Q3,60,24
Chris,Sununu,Republican,New Hampshire,NH,2018 Q4,60,23
Chris,Sununu,Republican,New Hampshire,NH,2019 Q1,64,23
Chris,Sununu,Republican,New Hampshire,NH,2019 Q2,65,23
Phil,Scott,Republican,Vermont,VT,2017 Q1,68,16
Phil,Scott,Republican,Vermont,VT,2017 Q2,62,23
Phil,Scott,Republican,Vermont,VT,2017 Q3,60,21
Phil,Scott,Republican,Vermont,VT,2017 Q4,63,21
Phil,Scott,Republican,Vermont,VT,2018 Q1,65,21
Phil,Scott,Republican,Vermont,VT,2018 Q2,47,42
Phil,Scott,Republican,Vermont,VT,2018 Q3,50,38
Phil,Scott,Republican,Vermont,VT,2018 Q4,59,27
Phil,Scott,Republican,Vermont,VT,2019 Q1,59,28
Phil,Scott,Republican,Vermont,VT,2019 Q2,60,26
Mark,Gordon,Republican,Wyoming,WY,2019 Q1,53,10
Mark,Gordon,Republican,Wyoming,WY,2019 Q2,59,9
Doug,Burgum,Republican,North Dakota,ND,2017 Q1,69,16
Doug,Burgum,Republican,North Dakota,ND,2017 Q2,66,15
Doug,Burgum,Republican,North Dakota,ND,2017 Q3,62,17
Doug,Burgum,Republican,North Dakota,ND,2017 Q4,57,22
Doug,Burgum,Republican,North Dakota,ND,2018 Q1,58,22
Doug,Burgum,Republican,North Dakota,ND,2018 Q2,54,27
Doug,Burgum,Republican,North Dakota,ND,2018 Q3,54,25
Doug,Burgum,Republican,North Dakota,ND,2018 Q4,53,22
Doug,Burgum,Republican,North Dakota,ND,2019 Q1,55,21
Doug,Burgum,Republican,North Dakota,ND,2019 Q2,59,19
Asa,Hutchinson,Republican,Arkansas,AR,2017 Q1,67,22
Asa,Hutchinson,Republican,Arkansas,AR,2017 Q2,60,23
Asa,Hutchinson,Republican,Arkansas,AR,2017 Q3,63,19
Asa,Hutchinson,Republican,Arkansas,AR,2017 Q4,59,23
Asa,Hutchinson,Republican,Arkansas,AR,2018 Q1,57,25
Asa,Hutchinson,Republican,Arkansas,AR,2018 Q2,57,26
Asa,Hutchinson,Republican,Arkansas,AR,2018 Q3,58,26
Asa,Hutchinson,Republican,Arkansas,AR,2018 Q4,57,24
Asa,Hutchinson,Republican,Arkansas,AR,2019 Q1,57,23
Asa,Hutchinson,Republican,Arkansas,AR,2019 Q2,59,24
Greg,Abbott,Republican,Texas,TX,2017 Q1,64,24
Greg,Abbott,Republican,Texas,TX,2017 Q2,60,27
Greg,Abbott,Republican,Texas,TX,2017 Q3,58,25
Greg,Abbott,Republican,Texas,TX,2017 Q4,59,24
Greg,Abbott,Republican,Texas,TX,2018 Q1,56,26
Greg,Abbott,Republican,Texas,TX,2018 Q2,56,26
Greg,Abbott,Republican,Texas,TX,2018 Q3,57,26
Greg,Abbott,Republican,Texas,TX,2018 Q4,56,24
Greg,Abbott,Republican,Texas,TX,2019 Q1,57,23
Greg,Abbott,Republican,Texas,TX,2019 Q2,58,24
Bill,Lee,Republican,Tennessee,TN,2019 Q1,54,14
Bill,Lee,Republican,Tennessee,TN,2019 Q2,57,18
Ron,DeSantis,Republican,Florida,FL,2019 Q1,54,20
Ron,DeSantis,Republican,Florida,FL,2019 Q2,57,20
Brad,Little,Republican,Idaho,ID,2019 Q1,52,16
Brad,Little,Republican,Idaho,ID,2019 Q2,57,21
Kay,Ivey,Republican,Alabama,AL,2017 Q2,64,13
Kay,Ivey,Republican,Alabama,AL,2017 Q3,62,12
Kay,Ivey,Republican,Alabama,AL,2017 Q4,64,15
Kay,Ivey,Republican,Alabama,AL,2018 Q1,67,15
Kay,Ivey,Republican,Alabama,AL,2018 Q2,67,17
Kay,Ivey,Republican,Alabama,AL,2018 Q3,65,18
Kay,Ivey,Republican,Alabama,AL,2018 Q4,63,19
Kay,Ivey,Republican,Alabama,AL,2019 Q1,63,19
Kay,Ivey,Republican,Alabama,AL,2019 Q2,57,29
Kevin,Stitt,Republican,Oklahoma,OK,2019 Q1,44,18
Kevin,Stitt,Republican,Oklahoma,OK,2019 Q2,55,19
Henry,McMaster,Republican,South Carolina,SC,2017 Q2,52,20
Henry,McMaster,Republican,South Carolina,SC,2017 Q3,51,21
Henry,McMaster,Republican,South Carolina,SC,2017 Q4,52,23
Henry,McMaster,Republican,South Carolina,SC,2018 Q1,50,24
Henry,McMaster,Republican,South Carolina,SC,2018 Q2,48,28
Henry,McMaster,Republican,South Carolina,SC,2018 Q3,49,29
Henry,McMaster,Republican,South Carolina,SC,2018 Q4,53,25
Henry,McMaster,Republican,South Carolina,SC,2019 Q1,57,23
Henry,McMaster,Republican,South Carolina,SC,2019 Q2,55,25
John,Carney,Democrat,Delaware,DE,2017 Q1,61,20
John,Carney,Democrat,Delaware,DE,2017 Q2,52,30
John,Carney,Democrat,Delaware,DE,2017 Q3,51,27
John,Carney,Democrat,Delaware,DE,2017 Q4,55,26
John,Carney,Democrat,Delaware,DE,2018 Q1,50,29
John,Carney,Democrat,Delaware,DE,2018 Q2,52,28
John,Carney,Democrat,Delaware,DE,2018 Q3,52,28
John,Carney,Democrat,Delaware,DE,2018 Q4,51,25
John,Carney,Democrat,Delaware,DE,2019 Q1,54,28
John,Carney,Democrat,Delaware,DE,2019 Q2,54,27
Steve,Bullock,Democrat,Montana,MT,2017 Q1,59,28
Steve,Bullock,Democrat,Montana,MT,2017 Q2,59,28
Steve,Bullock,Democrat,Montana,MT,2017 Q3,57,26
Steve,Bullock,Democrat,Montana,MT,2017 Q4,53,31
Steve,Bullock,Democrat,Montana,MT,2018 Q1,55,32
Steve,Bullock,Democrat,Montana,MT,2018 Q2,51,31
Steve,Bullock,Democrat,Montana,MT,2018 Q3,54,28
Steve,Bullock,Democrat,Montana,MT,2018 Q4,52,29
Steve,Bullock,Democrat,Montana,MT,2019 Q1,54,28
Steve,Bullock,Democrat,Montana,MT,2019 Q2,54,29
Gary,Herbert,Republican,Utah,UT,2017 Q1,64,28
Gary,Herbert,Republican,Utah,UT,2017 Q2,61,28
Gary,Herbert,Republican,Utah,UT,2017 Q3,56,29
Gary,Herbert,Republican,Utah,UT,2017 Q4,60,24
Gary,Herbert,Republican,Utah,UT,2018 Q1,60,23
Gary,Herbert,Republican,Utah,UT,2018 Q2,56,27
Gary,Herbert,Republican,Utah,UT,2018 Q3,56,26
Gary,Herbert,Republican,Utah,UT,2018 Q4,53,26
Gary,Herbert,Republican,Utah,UT,2019 Q1,52,27
Gary,Herbert,Republican,Utah,UT,2019 Q2,54,29
Pete,Ricketts,Republican,Nebraska,NE,2017 Q1,61,30
Pete,Ricketts,Republican,Nebraska,NE,2017 Q2,59,28
Pete,Ricketts,Republican,Nebraska,NE,2017 Q3,56,29
Pete,Ricketts,Republican,Nebraska,NE,2017 Q4,54,28
